# 11,000 Year Sunspot Number Reconstruction
# ---------------------------------------------------------------------
#                 NOAA Paleoclimatology Program
#                                and
#          World Data Center for Paleoclimatology, Boulder
# ---------------------------------------------------------------------
# NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!
# 
# 
# NAME OF DATA SET: 11,000 Year Sunspot Number Reconstruction
# 
# LAST UPDATE: 2/2005 (Original Receipt by WDC Paleo)
# CONTRIBUTOR: Sami Solanki, Max-Planck-Institut für Sonnensystemforschung
# IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-015
# 
# 
# SUGGESTED DATA CITATION: Solanki, S.K., et al.  2005.
# 11,000 Year Sunspot Number Reconstruction.
# IGBP PAGES/World Data Center for Paleoclimatology 
# Data Contribution Series #2005-015. 
# NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 
# 
# 
# ORIGINAL REFERENCE: 
# Solanki, S.K., I.G. Usoskin, B. Kromer, M. Schüssler and J. Beer.  2004.  
# An unusually active Sun during recent decades compared to the previous 11,000 years. 
# Nature, Vol. 431, No. 7012, pp.1084-1087, 28 October 2004.
# 
# ABSTRACT:
# Direct observations of sunspot numbers are available for the past
# four centuries, but longer time series are required, for example,
# for the identification of a possible solar influence on climate and
# for testing models of the solar dynamo. Here we report a
# reconstruction of the sunspot number covering the past 11,400
# years, based on dendrochronologically dated radiocarbon concentrations.
# We combine physics-based models for each of the
# processes connecting the radiocarbon concentration with sunspot
# number. According to our reconstruction, the level of solar
# activity during the past 70 years is exceptional, and the previous
# period of equally high activity occurred more than 8,000 years
# ago. We find that during the past 11,400 years the Sun spent only
# of the order of 10% of the time at a similarly high level of
# magnetic activity and almost all of the earlier high-activity
# periods were shorter than the present episode. Although the
# rarity of the current episode of high average sunspot numbers
# may indicate that the Sun has contributed to the unusual climate
# change during the twentieth century, we point out that solar
# variability is unlikely to have been the dominant cause of the
# strong warming during the past three decades.
# 
# 
# PERIOD OF RECORD:  11 KYrBP - present
# GEOGRAPHIC REGION: Global
# 
# 
# DESCRIPTION:  
# The series of reconstructed 10-yr averaged sunspot numbers with their 68% uncertainty.
# Years are given BP (before present), i.e. the calendar AD year, Yad, is related to the 
# BP year, Ybp, as Yc=1950-Ybp.
# The tabulated years correspond to centers of the corresponding 10-year intervals.
# Negative values are artifacts and are consistent with zero within the error limits.
# 
# 
# 
# DATA:
# Column 1: Year Before Present (1950 AD)
# Column 2: Reconstructed Sunspot Number
# Column 3: Sigma error (68% uncertainty)
# 
# 
YearBP   SN     sigma
 5085    50.2    11.2
 5075    43.5    12.4
 5065    38.8    10.4
 5055    30.1     8.3
 5045      21     9.3
 5035    19.3     8.5
 5025    27.2     9.4
 5015    40.4    10.2
 5005    46.4     9.9
 4995    42.2     9.6
 4985    34.1    10.4
 4975    26.1     8.6
 4965    23.3     9.2
 4955    26.6     8.5
 4945    34.2     9.7
 4935    43.1     8.7
 4925    46.7     9.5
 4915    46.2       8
 4905    49.9     9.4
 4895    53.4    10.4
 4885    46.1      12
 4875    31.4     9.4
 4865    21.4      10
 4855    18.2     8.2
 4845      14     9.6
 4835     6.4     8.3
 4825     1.3       8
 4815     0.5     9.6
 4805     2.3     7.7
 4795     4.4     7.4
 4785     6.8     8.1
 4775    16.6     7.4
 4765    36.6     7.8
 4755    51.8    11.1
 4745    47.8    11.1
 4735    39.2    10.7
 4725    37.8      11
 4715    36.2     8.4
 4705      31     8.9
 4695    30.5     9.5
 4685    37.7     8.8
 4675    51.4      11
 4665    54.5    11.1
 4655    41.6     8.3
 4645    36.2       9
 4635    38.4     9.2
 4625    36.5     8.1
 4615    33.4     9.1
 4605    39.7    10.8
 4595    48.3     9.7
 4585    42.7     8.7
 4575    32.5     9.1
 4565    34.7     9.9
 4555    42.1     9.4
 4545    40.4    11.3
 4535    31.6     9.3
 4525    22.7     7.7
 4515    19.4     7.8
 4505    21.9     8.8
 4495    29.4    10.5
 4485    40.5    10.6
 4475    53.9    11.6
 4465    61.6    11.2
 4455    48.4    11.8
 4445    34.2     9.3
 4435    31.2     9.9
 4425    24.1     8.5
 4415    14.1     7.9
 4405      14     8.2
 4395    20.3       8
 4385      26     8.6
 4375    31.7    11.2
 4365    33.1    10.7
 4355    27.5     8.6
 4345    27.7     8.4
 4335    38.8     9.9
 4325    49.4    12.2
 4315    49.5    11.6
 4305    42.1    11.6
 4295    35.9      11
 4285    37.1    10.3
 4275    42.5     9.4
 4265    43.9    11.1
 4255    38.9     8.7
 4245    31.9     8.4
 4235      27     9.4
 4225      27     8.7
 4215    35.2     9.3
 4205    49.7    10.8
 4195    55.1    12.1
 4185    48.7     8.9
 4175    49.7     9.7
 4165    47.4    11.1
 4155    31.9     8.4
 4145    24.5     7.7
 4135    31.4       9
 4125    44.2    11.5
 4115      54     9.5
 4105    49.1     9.7
 4095    32.5    10.9
 4085    22.9    10.5
 4075    23.2     9.7
 4065    27.3     9.3
 4055    35.1     9.7
 4045    46.9    10.3
 4035    59.4    12.1
 4025    64.9    15.2
 4015    60.4    10.6
 4005    54.3    10.7
 3995    43.7    10.4
 3985    32.3     8.7
 3975      28     9.5
 3965    30.4     8.7
 3955    41.8    10.9
 3945    54.1    11.2
 3935    47.9      10
 3925    39.4    10.4
 3915    40.6    11.4
 3905    39.7     9.5
 3895    36.4     8.7
 3885    36.5    10.3
 3875    36.9      11
 3865    37.3     9.8
 3855    40.4     9.5
 3845    36.6    10.8
 3835    24.1     9.4
 3825    17.5     7.9
 3815    19.4     9.9
 3805    29.4     9.1
 3795    48.2    11.1
 3785    54.7    13.6
 3775    43.4    11.7
 3765    40.2    10.2
 3755    49.1     8.1
 3745    58.8     9.6
 3735      51      10
 3725    38.8      10
 3715    38.1    10.7
 3705    36.6    11.8
 3695    26.3     9.6
 3685    21.3     9.1
 3675    29.5    10.7
 3665    43.2      12
 3655    45.1    12.5
 3645    29.7     9.2
 3635    18.4     8.3
 3625    22.7     7.6
 3615    31.7     8.4
 3605    36.2    10.4
 3595    37.2    11.6
 3585    33.2     9.8
 3575    28.5    10.6
 3565    25.5     9.8
 3555    23.8    11.4
 3545    26.4     8.7
 3535    32.7      10
 3525    39.3    10.6
 3515    46.1    11.4
 3505    50.6    14.9
 3495    48.4    12.2
 3485    36.6    10.6
 3475    21.4     8.3
 3465    16.1     8.9
 3455    18.1     8.1
 3445    19.7     7.8
 3435    26.1     7.9
 3425    35.5     9.1
 3415    36.1    11.8
 3405    31.1    10.4
 3395    26.6     8.7
 3385    22.5     9.1
 3375    20.5       9
 3365    18.2     9.2
 3355    15.2     8.9
 3345    14.4     8.1
 3335    13.2     8.2
 3325    12.2     7.7
 3315    15.9     8.6
 3305    23.5      10
 3295    34.3     9.9
 3285    42.8    10.7
 3275      34     9.7
 3265      23     8.7
 3255    22.6     8.7
 3245    24.6    10.3
 3235    29.9     9.5
 3225    32.8    10.1
 3215    22.9     8.5
 3205    17.4     7.9
 3195    26.9     9.9
 3185    38.8     9.7
 3175    35.1     8.9
 3165    25.4     9.7
 3155    25.4     8.7
 3145    27.7     8.1
 3135    31.9     9.2
 3125    39.8    10.7
 3115    38.3    10.4
 3105    37.5    11.3
 3095    44.6    11.6
 3085    38.1    11.8
 3075    26.4    10.4
 3065    27.4    11.9
 3055    34.3    11.4
 3045    39.2    11.9
 3035    40.5    11.8
 3025    42.3    10.5
 3015    44.8    10.3
 3005      41    10.8
 2995    36.8    10.5
 2985    39.1    11.5
 2975    40.7    10.7
 2965    35.6    10.2
 2955      29    10.2
 2945    28.7     9.5
 2935    30.9     8.8
 2925    29.3      10
 2915      35    11.4
 2905    46.1    11.1
 2895    44.5    12.9
 2885    36.7    12.3
 2875    32.1     8.3
 2865    28.5    10.1
 2855    23.7     8.4
 2845    21.5     8.3
 2835    28.5    10.4
 2825    38.4    13.9
 2815    41.9    11.7
 2805    42.3    10.7
 2795    36.6    13.3
 2785    25.1     9.4
 2775      19     8.1
 2765    16.2       8
 2755     8.3     8.1
 2745     1.6     7.4
 2735     2.3     7.7
 2725     3.8     7.2
 2715    -0.8     7.5
 2705    -3.3     7.2
 2695     1.5       8
 2685     7.5     8.4
 2675      12     8.1
 2665    16.1     8.5
 2655    20.8     9.2
 2645    29.7     9.8
 2635    40.8    10.9
 2625    39.2    10.8
 2615    28.8     9.6
 2605    29.4    10.2
 2595    38.2    10.3
 2585    44.8      11
 2575    47.8    11.7
 2565    51.4    13.2
 2555    49.7    10.5
 2545    42.8     9.2
 2535    44.8     9.4
 2525    52.2    10.9
 2515    51.2    10.9
 2505    43.4    11.8
 2495    35.6     9.2
 2485    33.6     9.5
 2475    33.7    16.2
 2465    32.4    11.9
 2455      35      10
 2445    38.2     8.2
 2435    38.7    11.7
 2425    44.3    10.5
 2415    53.3    10.6
 2405    54.5    12.9
 2395    55.7    12.8
 2385    60.6    15.1
 2375    56.2    14.5
 2365    36.9    11.7
 2355    16.1     8.7
 2345     6.6     7.6
 2335     6.1     8.2
 2325     8.4     8.1
 2315     7.8       8
 2305     3.9     8.2
 2295       4     7.3
 2285    10.7     7.6
 2275    20.9     8.2
 2265    28.8     8.5
 2255    33.5     8.5
 2245      41    10.4
 2235    50.8    10.6
 2225    54.9    11.9
 2215    47.4     9.2
 2205    42.1    12.2
 2195    42.9    12.5
 2185    38.4     9.5
 2175    38.6     8.6
 2165    37.3     9.1
 2155    25.7     8.7
 2145    23.5     8.8
 2135    26.9     8.3
 2125    22.8     7.9
 2115    19.6     7.8
 2105    22.4     8.8
 2095    28.4     9.6
 2085    35.5     8.7
 2075    36.8     9.4
 2065    33.4     9.2
 2055    31.9     8.1
 2045    30.9       8
 2035      34     8.3
 2025    40.7     8.6
 2015    39.8    10.7
 2005    30.1      10
 1995      23       9
 1985    24.3       9
 1975    30.2    11.3
 1965    34.6    10.3
 1955    32.6    11.4
 1945    28.6     9.7
 1935    26.8     9.1
 1925    25.1     8.8
 1915    29.2     8.8
 1905    32.5     8.3
 1895    28.3     8.3
 1885      24     9.2
 1875    19.8     7.9
 1865    18.7     7.7
 1855      26     7.9
 1845    33.8     9.1
 1835    29.5     7.8
 1825    18.2     8.7
 1815    14.4     8.7
 1805      20     7.3
 1795    26.9     8.5
 1785      29     8.8
 1775    29.5       9
 1765    34.1     9.4
 1755    39.7     9.2
 1745    38.3     9.5
 1735    33.5     8.2
 1725    29.4     8.5
 1715    23.5     7.1
 1705    17.4     7.1
 1695    12.6     7.6
 1685    14.8     7.9
 1675    25.9     7.6
 1665    35.3     8.9
 1655    42.7     9.2
 1645    47.1      10
 1635    37.7    11.3
 1625    28.6     9.4
 1615    25.4     7.4
 1605    24.5     8.2
 1595    28.5     8.9
 1585    34.6     7.6
 1575    34.4     8.5
 1565    29.4     8.4
 1555      27     7.8
 1545    24.6     8.3
 1535    18.9     7.2
 1525    12.9     7.3
 1515    11.5     7.3
 1505    16.6     8.1
 1495    21.7     7.9
 1485    23.2     8.4
 1475    26.4     8.3
 1465    31.4     8.5
 1455    34.4     9.2
 1445    37.4     8.4
 1435    39.5     9.8
 1425    32.5       8
 1415    21.4     7.4
 1405    18.9     7.5
 1395    21.5     7.1
 1385    23.6     8.6
 1375    27.5     8.1
 1365    29.7     7.9
 1355    25.5     8.3
 1345    21.5     9.3
 1335      22     8.1
 1325    23.5     7.9
 1315    21.1     7.8
 1305    14.4     7.6
 1295       8     7.3
 1285     5.6     7.1
 1275     5.6     7.1
 1265     5.1       8
 1255     7.4     7.5
 1245    11.1     7.3
 1235    10.4     7.5
 1225      11     7.5
 1215    18.7     7.6
 1205    28.7     8.7
 1195    29.2     7.8
 1185    18.1     7.6
 1175     8.9     7.1
 1165    10.5     6.9
 1155    17.1     8.2
 1145    19.1       8
 1135    19.4     7.5
 1125    21.7     7.5
 1115    26.2     7.6
 1105    30.4       9
 1095    30.5     8.8
 1085    29.3     9.7
 1075    25.8     9.4
 1065    16.9     7.4
 1055     9.7     7.8
 1045    12.8     7.3
 1035    25.1     7.3
 1025    34.1     9.5
 1015    32.4      11
 1005    29.2     9.8
  995    27.3     8.2
  985    24.7     7.7
  975    20.6     6.9
  965    16.2     8.1
  955    14.9     8.1
  945    14.7     7.9
  935    10.3       7
  925     4.4     7.2
  915     2.7     7.6
  905     4.7     7.4
  895     7.9     7.3
  885    10.6     8.5
  875    15.7     8.1
  865    24.4     8.8
  855      31     8.3
  845    30.3     8.1
  835    24.6     7.2
  825    25.1     9.1
  815    35.8     9.2
  805    36.1     9.8
  795    21.7    10.4
  785    17.7     8.3
  775    21.5     9.4
  765    22.4     8.9
  755    23.1     8.2
  745    21.4     7.8
  735    16.2     9.1
  725    16.1     8.5
  715    19.9     8.6
  705    20.9     7.5
  695    18.8     7.2
  685    15.2     7.7
  675     9.3     7.1
  665     2.1       7
  655      -3     7.2
  645    -3.4     7.5
  635    -1.5     7.8
  625    -0.4     8.1
  615     5.1     7.4
  605      16     9.2
  595    25.3       9
  585    30.9     9.2
  575    27.7     9.1
  565    15.8     7.6
  555       7     7.1
  545     3.2     6.8
  535     1.9       7
  525       0     7.8
  515    -3.8     8.3
  505    -5.5     7.5
  495    -3.2       8
  485    -0.3     8.4
  475    -0.3     7.3
  465    -0.8     7.9
  455     1.5     8.1
  445     3.7     7.8
  435     2.3       7
  425     0.8     7.6
  415     3.7     7.4
  405     9.5     8.5
  395    14.4     8.8
  385    17.6     8.5
  375    20.2     9.3
  365    24.8     9.2
  355    30.6     8.9
  345    30.8       9
  335    24.1       8
  325    16.6       8
  315     9.8     7.6
  305     4.8     7.2
  295     1.4     7.1
  285    -2.3     7.4
  275    -5.1     7.5
  265    -5.6     7.3
  255    -4.2     6.8
  245    -0.7       7
  235     6.7     7.2
  225    17.8     7.4
  215    26.1     7.9
  205    27.3     7.5
  195    28.3     8.1
  185    34.4     9.4
  175    45.3     8.6
  165    45.9     9.1
  155    28.9     7.8
  145    15.2     6.7
  135      14     7.1
  125    21.5     7.3
  115    30.5     7.3
  105    37.5     7.6
   95    48.7     8.5
   85      55    12.7
   75      40    13.3
   65      27     9.4
   55    28.7     9.9

